Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;N;Mean;Error;StdDev;Ratio;Gen 0;Gen 1;Gen 2;Allocated
SequentialFunctionalQuickSort;.NET Framework 4.7.2;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.7.2;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;10000;"31,825.0 μs";110.88 μs;98.30 μs;1.00;2937.5000;625.0000;312.5000;"17,262 KB"
ParallelFunctionalQuickSort;.NET Framework 4.7.2;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.7.2;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;10000;"87,714.7 μs";"1,688.77 μs";"2,135.75 μs";1.00;4333.3333;500.0000;166.6667;"25,940 KB"
OptimizedParallelFunctionalQuickSort;.NET Framework 4.7.2;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.7.2;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;10000;"22,047.1 μs";437.27 μs;568.58 μs;1.00;4000.0000;1000.0000;0.0000;"21,998 KB"
SequentialImperativeQuickSort;.NET Framework 4.7.2;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.7.2;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;10000;864.8 μs;4.48 μs;3.74 μs;1.00;83.0078;41.0156;0.0000;509 KB
ParallelImperativeQuickSort;.NET Framework 4.7.2;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.7.2;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;10000;"50,164.9 μs";542.60 μs;481.00 μs;1.00;2400.0000;300.0000;0.0000;"8,331 KB"
OptimizedParallelImperativeQuickSort;.NET Framework 4.7.2;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.7.2;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;10000;"1,911.1 μs";13.33 μs;12.47 μs;1.00;410.1563;203.1250;0.0000;"2,510 KB"
SequentialFunctionalQuickSort;.NET Framework 4.7.2;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.7.2;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100000;"430,687.6 μs";"7,048.28 μs";"7,238.06 μs";1.00;35000.0000;9000.0000;2000.0000;"200,696 KB"
ParallelFunctionalQuickSort;.NET Framework 4.7.2;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.7.2;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100000;"962,152.1 μs";"9,038.19 μs";"8,454.33 μs";1.00;51000.0000;11000.0000;2000.0000;"287,456 KB"
OptimizedParallelFunctionalQuickSort;.NET Framework 4.7.2;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.7.2;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100000;"302,886.7 μs";"6,034.56 μs";"16,002.78 μs";1.00;40000.0000;10000.0000;1000.0000;"241,963 KB"
SequentialImperativeQuickSort;.NET Framework 4.7.2;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.7.2;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100000;"14,411.5 μs";86.55 μs;80.96 μs;1.00;843.7500;375.0000;140.6250;"5,092 KB"
ParallelImperativeQuickSort;.NET Framework 4.7.2;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.7.2;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100000;"502,411.0 μs";"9,306.22 μs";"8,705.04 μs";1.00;49000.0000;0.0000;0.0000;"84,262 KB"
OptimizedParallelImperativeQuickSort;.NET Framework 4.7.2;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.7.2;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100000;"23,296.1 μs";451.88 μs;603.25 μs;1.00;6093.7500;750.0000;218.7500;"18,815 KB"
SequentialFunctionalQuickSort;.NET Framework 4.7.2;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.7.2;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1000000;"5,546,154.8 μs";"68,627.73 μs";"64,194.43 μs";1.00;367000.0000;78000.0000;6000.0000;"2,268,002 KB"
ParallelFunctionalQuickSort;.NET Framework 4.7.2;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.7.2;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1000000;"10,861,608.2 μs";"215,781.21 μs";"201,841.88 μs";1.00;530000.0000;93000.0000;4000.0000;"3,135,242 KB"
OptimizedParallelFunctionalQuickSort;.NET Framework 4.7.2;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.7.2;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1000000;"4,154,003.1 μs";"82,569.18 μs";"130,963.46 μs";1.00;426000.0000;97000.0000;4000.0000;"2,664,875 KB"
SequentialImperativeQuickSort;.NET Framework 4.7.2;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.7.2;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1000000;"221,115.3 μs";"2,997.96 μs";"2,804.29 μs";1.00;8666.6667;3666.6667;1000.0000;"50,922 KB"
ParallelImperativeQuickSort;.NET Framework 4.7.2;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.7.2;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1000000;"5,085,664.0 μs";"69,986.93 μs";"62,041.59 μs";1.00;496000.0000;3000.0000;0.0000;"842,826 KB"
OptimizedParallelImperativeQuickSort;.NET Framework 4.7.2;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.7.2;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1000000;"234,247.7 μs";"4,600.52 μs";"9,500.87 μs";1.00;66666.6667;4333.3333;1000.0000;"149,349 KB"
